RANK;TEAM;POINTS;W;L;W/L;MAP_W;MAP_L;MAP_W/L
1;Atlanta Faze;260;21;9;70.00%;77;52;59.69%
2;OpTic Texas;225;20;7;74.07%;71;34;67.62%
3;Seattle Surge;175;14;10;58.33%;56;47;54.37%
4;London Royal Ravens;150;13;11;54.17%;45;48;48.39%
5;Toronto Ultra;140;13;13;50.00%;56;51;52.34%
6;Boston Breach;130;11;13;45.83%;45;51;46.88%
7;LA Guerrilas;125;12;13;48.00%;46;55;45.54%
8;LA Thieves;120;11;14;44.00%;48;53;47.52%
9;Minnesota Rokkr;110;11;10;52.38%;42;41;50.60%
10;Florida Mutineers;110;9;14;39.13%;39;49;44.32%
11;New York Subliners;70;7;13;35.00%;33;46;41.77%
12;Paris Legion;20;2;17;10.53%;24;55;30.38%
